Entity	Annotation	Status	Provenance	link
http://bio2rdf.org/linkedct_intervention:23554				=hyperlink("http://bio2rdf.org/linkedct_intervention:23554")
http://bio2rdf.org/linkedct_intervention:24034				=hyperlink("http://bio2rdf.org/linkedct_intervention:24034")
http://bio2rdf.org/linkedct_intervention:27033				=hyperlink("http://bio2rdf.org/linkedct_intervention:27033")
http://bio2rdf.org/linkedct_intervention:27035				=hyperlink("http://bio2rdf.org/linkedct_intervention:27035")
http://bio2rdf.org/linkedct_intervention:27037				=hyperlink("http://bio2rdf.org/linkedct_intervention:27037")
http://bio2rdf.org/linkedct_intervention:27041				=hyperlink("http://bio2rdf.org/linkedct_intervention:27041")
http://bio2rdf.org/linkedct_intervention:29587				=hyperlink("http://bio2rdf.org/linkedct_intervention:29587")
http://bio2rdf.org/linkedct_intervention:30877				=hyperlink("http://bio2rdf.org/linkedct_intervention:30877")
http://bio2rdf.org/linkedct_intervention:31913				=hyperlink("http://bio2rdf.org/linkedct_intervention:31913")
http://bio2rdf.org/linkedct_intervention:32409				=hyperlink("http://bio2rdf.org/linkedct_intervention:32409")
http://bio2rdf.org/linkedct_intervention:32412				=hyperlink("http://bio2rdf.org/linkedct_intervention:32412")
http://bio2rdf.org/linkedct_intervention:32416				=hyperlink("http://bio2rdf.org/linkedct_intervention:32416")
http://bio2rdf.org/linkedct_intervention:35161				=hyperlink("http://bio2rdf.org/linkedct_intervention:35161")
http://bio2rdf.org/linkedct_intervention:35842				=hyperlink("http://bio2rdf.org/linkedct_intervention:35842")
http://bio2rdf.org/linkedct_intervention:45250				=hyperlink("http://bio2rdf.org/linkedct_intervention:45250")
http://bio2rdf.org/linkedct_intervention:46109				=hyperlink("http://bio2rdf.org/linkedct_intervention:46109")
http://bio2rdf.org/linkedct_intervention:57154				=hyperlink("http://bio2rdf.org/linkedct_intervention:57154")
http://bio2rdf.org/linkedct_intervention:58037				=hyperlink("http://bio2rdf.org/linkedct_intervention:58037")
http://bio2rdf.org/linkedct_intervention:60239				=hyperlink("http://bio2rdf.org/linkedct_intervention:60239")
http://bio2rdf.org/linkedct_intervention:62393				=hyperlink("http://bio2rdf.org/linkedct_intervention:62393")
http://bio2rdf.org/linkedct_intervention:826				=hyperlink("http://bio2rdf.org/linkedct_intervention:826")
http://bio2rdf.org/wikipedia:Aspirin				=hyperlink("http://bio2rdf.org/wikipedia:Aspirin")
http://drugbank_drugs.bio2rdf.org/drugbank_drugs:DB00945				=hyperlink("http://drugbank_drugs.bio2rdf.org/drugbank_drugs:DB00945")
http://www.dbpedia.org/resource/Aspirin				=hyperlink("http://www.dbpedia.org/resource/Aspirin")
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00945				=hyperlink("http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00945")
