<http://bibsonomy.org/uri/bibtexkey/conf/mobisys/LiXSHZZ11/dblp>,<http://dblp.l3s.de/d2r/resource/publications/conf/mobisys/LiXSHZZ11>,<http://dblp.rkbexplorer.com/id/conf/mobisys/LiXSHZZ11>
<http://ceb.dbpedia.org/resource/Schizozetes>,<http://sv.dbpedia.org/resource/Schizozetes>,<http://war.dbpedia.org/resource/Schizozetes>,<http://www.wikidata.org/entity/Q4632520>
<http://kn.dbpedia.org/resource/%E0%B2%9F%E0%B3%86%E0%B2%82%E0%B2%AA%E0%B3%8D%E0%B2%B2%E0%B3%87%E0%B2%9F%E0%B3%81:Lang-th>,<http://kn.dbpedia.org/resource/ಟೆಂಪ್ಲೇಟು:Lang-th>
<http://datos.bne.es/resource/XX4874771>,<http://viaf.org/viaf/102365362>
<http://bibsonomy.org/uri/bibtexkey/journals/corr/abs-1112-1933/dblp>,<http://dblp.l3s.de/d2r/resource/publications/journals/corr/abs-1112-1933>,<http://dblp.rkbexplorer.com/id/journals/corr/abs-1112-1933>
<http://dblp.uni-trier.de/db/journals/tcs/tcs313.html#GenietD04>,<http://www.bibsonomy.org/bibtex/211c1f80bc0070147b49271745ed9d016/dblp>,<http://www.bibsonomy.org/uri/bibtex/211c1f80bc0070147b49271745ed9d016/dblp>
<http://bibsonomy.org/uri/bibtexkey/journals/tvcg/CollinsC07/dblp>,<http://dblp.l3s.de/d2r/resource/publications/journals/tvcg/CollinsC07>,<http://dblp.rkbexplorer.com/id/journals/tvcg/CollinsC07>
<http://mk.dbpedia.org/resource/3761_%D0%B4%D0%BE_%D0%BD._%D0%B5.>,<http://mk.dbpedia.org/resource/3761_до_н._е.>
<http://d-nb.info/gnd/119317745>,<http://viaf.org/viaf/25409911>
<http://bibsonomy.org/uri/bibtexkey/conf/vmcai/AmjadB09/dblp>,<http://dblp.l3s.de/d2r/resource/publications/conf/vmcai/AmjadB09>,<http://dblp.rkbexplorer.com/id/conf/vmcai/AmjadB09>
<http://hub.culturegraph.org/about/BVB-BV005879918>,<http://lod.b3kat.de/title/BV005879918>
<http://it.dbpedia.org/resource/Reto>,<http://www.wikidata.org/entity/Q3933757>
<http://lod.hebis.de/resource/12487239>,http://d-nb.info/97233436X^^<http://www.w3.org/2001/XMLSchema#string>
<http://lt.dbpedia.org/resource/Klaip%C4%97dos_dvira%C4%8Di%C5%B3_trekas>,<http://lt.dbpedia.org/resource/Klaipėdos_dviračių_trekas>,<http://www.wikidata.org/entity/Q12660789>
<http://pl.dbpedia.org/resource/Dom_Biega%C5%84skiego>,<http://pl.dbpedia.org/resource/Dom_Biegańskiego>,<http://www.wikidata.org/entity/Q9209273>
<http://ld.zdb-services.de/resource/11121579>,<http://lobid.org/resource/HT012449197>
